GeoID,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI,H_PopTot,H_Cases,H_AAIR,H_LCI,H_UCI,API_PopTot,API_Cases,API_AAIR,API_LCI,API_UCI,AIAN_PopTot,AIAN_Cases,AIAN_AAIR,AIAN_LCI,AIAN_UCI,GeoName,GeoType
29,Both,AllSite,05yrs,30539651,178447,479.3,477,481.6,24290552,155744,487.1,484.5,489.6,3791714,17367,487.3,479.6,495,1514015,2286,252.2,241,263.8,775542,1788,291.2,276.9,305.9,167828,382,193.8,173.8,215.5,Missouri,State
29,Female,AllSite,05yrs,15416651,88633,459.5,456.4,462.7,12226259,77054,470.4,466.9,473.9,1973505,8721,441,431.4,450.7,731532,1227,257.6,242.4,273.4,401173,1047,300.7,281.8,320.5,84182,186,192.7,164.5,224.4,Missouri,State
29,Male,AllSite,05yrs,15123000,89814,509.9,506.4,513.4,12064293,78690,514.3,510.5,518.1,1818209,8646,554.2,541.5,567.2,782483,1059,252.9,235.9,270.7,374369,741,285.4,263.5,308.5,83646,196,196.7,168.5,228.4,Missouri,State
29,Both,Lung,05yrs,30539651,27918,71,70.2,71.9,24290552,24690,72.1,71.2,73.1,3791714,2693,76.1,73.1,79.2,1514015,198,26.5,22.6,30.7,775542,211,39.7,34.2,45.7,167828,60,26.5,19.9,34.9,Missouri,State
29,Female,Lung,05yrs,15416651,13675,64.7,63.6,65.8,12226259,12081,66.3,65.1,67.5,1973505,1334,65,61.5,68.8,731532,103,25.4,20.4,31,401173,104,34.5,27.8,42.2,84182,31,26.3,17.5,38.6,Missouri,State
29,Male,Lung,05yrs,15123000,14243,79.2,77.9,80.6,12064293,12609,79.8,78.3,81.2,1818209,1359,92,86.6,97.5,782483,95,28.4,22.5,35.2,374369,107,46.8,37.8,57.1,83646,29,26.9,17.5,40,Missouri,State
29,Female,Breast,05yrs,15416651,26791,140.4,138.6,142.1,12226259,23177,143.1,141.2,145.1,1973505,2696,136.8,131.5,142.2,731532,354,71.9,64.2,80.1,401173,387,104.5,94,115.8,84182,49,47.3,34.3,63.9,Missouri,State
29,Male,Prostate,05yrs,15123000,20366,105,103.5,106.6,12064293,17105,100.6,99.1,102.2,1818209,2703,160.1,153.6,166.7,782483,187,50.1,42.5,58.5,374369,142,56.4,46.9,67,83646,35,31.3,21.3,44.7,Missouri,State
29,Both,CRC,05yrs,30539651,15164,42.8,42.1,43.5,24290552,13161,43.3,42.6,44.1,3791714,1543,45.3,43,47.8,1514015,197,22.4,19.1,26,775542,163,27.5,23.1,32.3,167828,29,15.6,10.2,22.9,Missouri,State
29,Female,CRC,05yrs,15416651,7096,37.9,37,38.8,12226259,6153,38.5,37.5,39.5,1973505,737,38.8,35.9,41.8,731532,76,16.9,13.1,21.4,401173,83,24.2,19.1,30.3,84182,,,,,Missouri,State
